,Age,Density_Corner_Left_Eye,Density_Corner_Right_Eye,Density_Forehead,Density_Cheek_Left,Density_Cheek_Right,Depth_Corner_Left_Eye,Depth_Corner_Right_Eye,Depth_Forehead,Depth_Cheek_Left,Depth_Cheek_Right,Variance_Corner_Left_Eye,Variance_Corner_Right_Eye,Variance_Forehead,Variance_Cheek_Left,Variance_Cheek_Right,Spot_Density_Corner_Left_Eye,Spot_Density_Corner_Right_Eye,Spot_Density_Forehead,Spot_Density_Cheek_Left,Spot_Density_Cheek_Right,Max_Spot_Size_Corner_Left_Eye,Max_Spot_Size_Corner_Right_Eye,Max_Spot_Size_Forehead,Max_Spot_Size_Cheek_Left,Max_Spot_Size_Cheek_Right,Count_of_Spots_Corner_Left_Eye,Count_of_Spots_Corner_Right_Eye,Count_of_Spots_Forehead,Count_of_Spots_Cheek_Left,Count_of_Spots_Cheek_Right,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,path
10,38,0.0945083014,0.160095579,0.0108386398,0.0963333333,0.04,0.208202055,0.466304761,0.295128911,0.215555378,0.229762284,0.0813012652,0.103980197,0.0374504006,0.0886066161,0.0472753108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.25,0.45,0.07,0.16,0.32,0.25,0.58,0.32,0.25,0.09,0.02,../datasets/wrinkles3/10011_1977-9-1_2015.jpg
11,29,0.46875,0.761363636,0.0106568833,0.177133655,0.105769231,0.542424602,0.459994344,0.228200833,0.25526569,0.280753806,0.296316889,0.373568615,0.0493292068,0.0970947589,0.0703819118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.28,0.47,0.07,0.18,0.42,0.23,0.62,0.4,0.23,0.07,0.02,../datasets/wrinkles3/10012_1977-9-1_2006.jpg
12,62,0.205741627,0.229344729,0.0923076923,0.105555556,0.059714795,0.21869374,0.236640893,0.305354475,0.236967567,0.281767325,0.109757173,0.118840509,0.0869198316,0.0817282484,0.0770314286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.27,0.46,0.06,0.19,0.36,0.25,0.58,0.33,0.25,0.08,0.02,../datasets/wrinkles3/10013_1948-2-5_2010.jpg
13,63,0.48137931,0.608045977,0.0800088652,0.289811321,0.24784689,0.267655719,0.273604513,0.207558702,0.275881081,0.279302137,0.174656345,0.203727298,0.0785790648,0.130789548,0.123171468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.25,0.43,0.06,0.24,0.45,0.27,0.59,0.32,0.27,0.05,0.03,../datasets/wrinkles3/10014_1948-2-5_2011.jpg
14,60,0.273809524,0.0303030303,0.126907906,0.34440753,0.00102459016,0.251457698,0.227873677,0.216020029,0.289748082,0.177469937,0.11695612,0.0529043065,0.0922234786,0.152985382,0.0441452896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.27,0.44,0.07,0.21,0.36,0.26,0.57,0.31,0.26,0.07,0.03,../datasets/wrinkles3/10015_1948-2-5_2008.jpg
15,67,0.605,0.287442396,0.149536178,0.404938272,0.360645161,0.360460171,0.283055236,0.231635435,0.343150632,0.251818806,0.256250759,0.134105165,0.0945076021,0.190226619,0.144603553,0,0,0.0038961039,0,0,0,0,0.000196,0,0,0,0,1,0,0,0.59,0.25,0.42,0.07,0.21,0.34,0.25,0.58,0.32,0.25,0.09,0.03,../datasets/wrinkles3/10016_1948-2-5_2015.jpg
16,70,0.636363636,0.504273504,0.132452575,0.328723404,0.348484848,0.309304295,0.276983045,0.206644759,0.261949131,0.265000609,0.232635055,0.186878439,0.0982099326,0.143253537,0.151890383,0,0,0.0108401084,0,0,0,0,0.000451321728,0,0,0,0,1,0,0,0.6,0.27,0.43,0.06,0.2,0.41,0.24,0.6,0.36,0.24,0.08,0.02,../datasets/wrinkles3/10017_1939-9-18_2009.jpg
17,74,0.640692641,0.353383459,0.442054434,0.536637931,0.403214025,0.315172735,0.285574706,0.38206537,0.281030897,0.388181539,0.239057104,0.143858718,0.212597018,0.196978698,0.209876332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.26,0.44,0.06,0.21,0.48,0.23,0.61,0.37,0.23,0.05,0.02,../datasets/wrinkles3/10018_1939-9-18_2013.jpg
18,30,0.404761905,0.289655172,0.193144208,0.139130435,0.242964997,0.468967249,0.435517161,0.320538936,0.225472918,0.22653685,0.241435817,0.179180715,0.114226608,0.0935700086,0.117001843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.27,0.47,0.07,0.2,0.44,0.26,0.6,0.34,0.26,0.06,0.03,../datasets/wrinkles3/1001_1983-09-24_2013.jpg
19,67,0.723809524,0.762237762,0.148563218,0.349873844,0.483928571,0.383522572,0.364019491,0.215286664,0.262862077,0.282019,0.306826948,0.302843464,0.101428933,0.15132847,0.184382586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.27,0.46,0.06,0.22,0.46,0.25,0.62,0.37,0.25,0.07,0.03,../datasets/wrinkles3/10020_1939-9-18_2006.jpg
20,29,0.161184211,0.315686275,0.00944055944,0.159090909,0.239813243,0.200982705,0.303463215,0.193083067,0.248379068,0.28721074,0.0966922934,0.144884115,0.053377371,0.0966144915,0.124214386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.27,0.45,0.07,0.18,0.37,0.23,0.63,0.4,0.23,0.08,0.02,../datasets/wrinkles3/10022_1957-3-27_1986.jpg
21,29,0.503401361,0.484615385,0.190297172,0.319958848,0.362068966,0.346432932,0.223091965,0.218020093,0.219084421,0.236104823,0.219658177,0.165907596,0.110657556,0.13274216,0.144471454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.27,0.47,0.07,0.19,0.36,0.25,0.63,0.38,0.25,0.1,0.02,../datasets/wrinkles3/10023_1947-8-22_1976.jpg
22,29,0.303069054,0.255952381,0.320974576,0.472089314,0.394308943,0.215884883,0.21628543,0.251485472,0.236515943,0.238819131,0.129350689,0.120379918,0.14048199,0.16259275,0.15094053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.25,0.44,0.06,0.21,0.38,0.27,0.6,0.33,0.27,0.07,0.03,../datasets/wrinkles3/10024_1947-8-22_1976.jpg
23,29,0.714046823,0.654761905,0.106734007,0.305555556,0.386958387,0.276951083,0.267358373,0.203672502,0.221013282,0.227413951,0.225097652,0.210977175,0.08228136,0.13090264,0.145510264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.27,0.47,0.07,0.19,0.38,0.28,0.58,0.3,0.28,0.07,0.03,../datasets/wrinkles3/10025_1947-8-22_1976.jpg
24,66,0.530769231,0.580392157,0.120779221,0.341489362,0.143928036,0.369249647,0.350672236,0.218332012,0.264827718,0.23495727,0.241176888,0.246049021,0.0895818783,0.151140286,0.0994962372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.28,0.47,0.06,0.21,0.47,0.24,0.57,0.34,0.24,0.05,0.02,../datasets/wrinkles3/10026_1947-8-22_2013.jpg
25,24,0.715976331,0.607843137,0.645635674,0.395445135,0.189516129,0.318118437,0.320092601,0.405208589,0.24916183,0.209769321,0.25852619,0.232070961,0.296215874,0.154252011,0.100808156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.28,0.45,0.06,0.21,0.41,0.26,0.58,0.32,0.26,0.06,0.03,../datasets/wrinkles3/10027_1981-7-28_2005.jpg
26,36,0.75,0.705357143,0.330561331,0.568548387,0.575391181,0.484382924,0.709814275,0.240894134,0.300941871,0.339449126,0.388396437,0.530191288,0.131814398,0.214011783,0.234908797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.26,0.45,0.06,0.25,0.47,0.23,0.61,0.38,0.23,0.06,0.03,../datasets/wrinkles3/10028_1966-3-14_2002.jpg
27,30,0.112554113,0.607503608,0.141723956,0.18625192,0.394871795,0.391468579,0.433453983,0.238376879,0.246135478,0.290501374,0.0952955416,0.29979213,0.0980493262,0.108499927,0.169371346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.27,0.45,0.06,0.23,0.43,0.26,0.6,0.35,0.26,0.07,0.03,../datasets/wrinkles3/10029_1981-8-5_2011.jpg
28,25,0.555555556,0.405923345,0.0443722944,0.303076923,0.210227273,0.533886109,0.485672072,0.224157996,0.424271299,0.213397851,0.340119911,0.242388001,0.0708507371,0.185692802,0.112412499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.26,0.44,0.07,0.16,0.34,0.25,0.55,0.3,0.25,0.07,0.02,../datasets/wrinkles3/1002_1989-01-15_2014.jpg
29,31,0.321428571,0.545945946,0.126415672,0.144074844,0.0627231005,0.200635057,0.298958456,0.212081243,0.257899843,0.2255871,0.115655484,0.20379283,0.0903096583,0.0995668925,0.0731827613,0,0,0,0,0,0,0,0,0,0.0107710864,0,0,0,0,1,0.61,0.27,0.44,0.06,0.19,0.35,0.25,0.61,0.36,0.25,0.08,0.02,../datasets/wrinkles3/10030_1981-8-5_2012.jpg
30,30,0.0729166667,0.10962963,0.0675287356,0.206597222,0.173690932,0.206413385,0.247267122,0.206352313,0.243104714,0.205167198,0.081909613,0.0912506484,0.0759298607,0.113191763,0.101448253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.28,0.46,0.06,0.23,0.42,0.26,0.6,0.34,0.26,0.06,0.03,../datasets/wrinkles3/10031_1981-8-5_2011.jpg
31,32,0.500805153,0.388387097,0.215087891,0.0859375,0.121367521,0.344189569,0.39241334,0.352418863,0.291665079,0.24869615,0.208214814,0.196610094,0.129686919,0.0914076168,0.0924998705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.27,0.45,0.06,0.22,0.48,0.24,0.61,0.36,0.24,0.05,0.03,../datasets/wrinkles3/10032_1981-8-5_2013.jpg
32,13,0.210826211,0.245238095,0.137295082,0.350657109,0.298878205,0.213539114,0.207357797,0.191262615,0.212641884,0.208402332,0.114070848,0.115405337,0.0984448101,0.136945851,0.125994251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.27,0.45,0.07,0.22,0.47,0.24,0.58,0.34,0.24,0.05,0.03,../datasets/wrinkles3/10033_1976-3-22_1989.jpg
33,13,0.136363636,0.58996328,0.0437352246,0.141782407,0.374137931,0.204198628,0.247016434,0.182893831,0.198859704,0.221530067,0.099527191,0.185577853,0.0766657635,0.0963430242,0.141213538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.27,0.45,0.06,0.25,0.48,0.25,0.59,0.35,0.25,0.05,0.03,../datasets/wrinkles3/10034_1976-3-22_1989.jpg
34,13,0.267379679,0.555555556,0.264500349,0.308195592,0.39823381,0.203257147,0.236626582,0.206186025,0.210726623,0.226900019,0.12072042,0.174490203,0.120098479,0.128848442,0.146818132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.27,0.47,0.07,0.22,0.37,0.25,0.6,0.35,0.25,0.09,0.03,../datasets/wrinkles3/10035_1976-3-22_1989.jpg
35,13,0.67578125,0.54147813,0.111235119,0.264195771,0.203431373,0.305843728,0.281304589,0.211442009,0.261301784,0.213616704,0.238155721,0.197164659,0.0842223641,0.120697484,0.0991759459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.26,0.46,0.07,0.21,0.47,0.24,0.56,0.32,0.24,0.06,0.03,../datasets/wrinkles3/10036_1976-3-22_1989.jpg
36,41,0.268255951,0.408906883,0.0925802139,0.386651958,0.149859944,0.746859049,0.318910733,0.208739433,0.484400924,0.246698939,0.693417305,0.180747442,0.084352487,0.236818116,0.101717653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.27,0.46,0.06,0.25,0.49,0.25,0.59,0.34,0.25,0.05,0.03,../datasets/wrinkles3/10037_1971-9-14_2012.jpg
37,46,0.0148809524,0.0569715142,0.352993612,0.381351981,0.285957447,0.186348503,0.216202167,0.272400692,0.316648934,0.245476095,0.0595822455,0.0693320092,0.144185658,0.168523113,0.129453054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.26,0.45,0.06,0.25,0.48,0.23,0.61,0.38,0.23,0.07,0.03,../datasets/wrinkles3/10038_1966-11-22_2012.jpg
38,31,0.123809524,0.258558559,0.148647009,0.00745098039,0.0378605769,0.376988311,0.348019528,0.291267187,0.194367949,0.208808671,0.0779805974,0.12149198,0.0916748752,0.0466067318,0.0577139371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.27,0.46,0.07,0.19,0.39,0.26,0.57,0.31,0.26,0.07,0.02,../datasets/wrinkles3/10039_1980-9-9_2011.jpg
39,55,0.456632653,0.241071429,0.142892037,0.0638528139,0.172701149,0.302729913,0.211646987,0.239917987,0.197825751,0.28901938,0.188581191,0.123189548,0.090932573,0.0718234804,0.102058601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.27,0.45,0.06,0.19,0.37,0.25,0.62,0.37,0.25,0.08,0.02,../datasets/wrinkles3/1003_1911-03-04_1966.jpg
40,31,0.134803922,0.150702427,0.13101867,0.00263504611,0.0201023392,0.336681261,0.380399726,0.247683876,0.162536207,0.171607084,0.0795361868,0.0883213795,0.0769481509,0.0354111076,0.0571381054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.28,0.46,0.07,0.2,0.42,0.25,0.58,0.32,0.25,0.06,0.02,../datasets/wrinkles3/10040_1980-9-9_2011.jpg
41,18,0.763157895,0.405769231,0.099,0.336696091,0.109567901,0.290427236,0.235823,0.209001668,0.295594319,0.224151962,0.24479925,0.150741355,0.0887387382,0.148485993,0.0840711943,0,0,0,0,0.0216049383,0,0,0,0,0.000573702894,0,0,0,0,1,0.62,0.26,0.45,0.07,0.2,0.37,0.26,0.6,0.34,0.26,0.08,0.03,../datasets/wrinkles3/10041_1980-9-9_1998.jpg
42,31,0.125925926,0.175925926,0.00761904762,0.0240601504,0.0166666667,0.260930261,0.283245643,0.337180552,0.196795856,0.17997444,0.088655226,0.1021379,0.0360446493,0.0595102645,0.0621831861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.25,0.44,0.07,0.18,0.4,0.26,0.59,0.32,0.26,0.05,0.02,../datasets/wrinkles3/10042_1980-9-9_2011.jpg
43,31,0.21875,0.193779904,0.102226721,0.0377777778,0.0563063063,0.327776647,0.462883045,0.219687576,0.17764348,0.21652827,0.119595248,0.13477186,0.0669833579,0.0623234261,0.0793190375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.28,0.45,0.07,0.19,0.44,0.25,0.59,0.34,0.25,0.05,0.02,../datasets/wrinkles3/10043_1980-9-9_2011.jpg
44,31,0.136363636,0.27,0.00768822906,0.0755649718,0.0459401709,0.206500353,0.416202018,0.207610547,0.228326327,0.222055626,0.0868205277,0.163007674,0.0394962519,0.0711902483,0.0725645428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.26,0.44,0.07,0.18,0.33,0.25,0.61,0.36,0.25,0.09,0.02,../datasets/wrinkles3/10044_1980-9-9_2011.jpg
45,29,0.378787879,0.117886179,0.365980124,0.266874645,0.0801248699,0.285578921,0.211906773,0.431514916,0.322426553,0.186577885,0.159807556,0.078152995,0.198601837,0.144606305,0.0768568278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.27,0.46,0.07,0.2,0.4,0.25,0.57,0.32,0.25,0.06,0.03,../datasets/wrinkles3/10045_1980-9-9_2009.jpg
46,31,0.331265509,0.308035714,0.0377085797,0.0577777778,0.058382257,0.276829421,0.375350628,0.197623657,0.257393501,0.222616693,0.142148388,0.163566155,0.0598041707,0.0713345023,0.0726175706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.25,0.42,0.06,0.19,0.35,0.27,0.61,0.34,0.27,0.08,0.02,../datasets/wrinkles3/10046_1980-9-9_2011.jpg
47,21,0.2,0.433333333,0.0993243243,0.112373737,0.218013468,0.240911213,0.332318094,0.238346669,0.197873872,0.232635197,0.10580832,0.196499836,0.0774531518,0.0783722837,0.1156933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.26,0.46,0.07,0.18,0.38,0.25,0.58,0.33,0.25,0.07,0.02,../datasets/wrinkles3/10047_1980-9-9_2001.jpg
48,44,0.321678322,0.468181818,0.0587365591,0.0435294118,0.130345395,0.269087995,0.340281225,0.255253582,0.218539414,0.222178532,0.144072524,0.211669933,0.0686613691,0.0696334481,0.0865296558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.27,0.44,0.07,0.18,0.36,0.26,0.6,0.35,0.26,0.07,0.02,../datasets/wrinkles3/10049_1968-7-26_2012.jpg
49,29,0.46875,0.492857143,0.0460526316,0.432967033,0.373655914,0.594562857,0.439282024,0.290296772,0.355325684,0.33104907,0.3298591,0.266551139,0.0685974175,0.204597758,0.177401456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.27,0.46,0.06,0.24,0.52,0.25,0.61,0.37,0.25,0.04,0.03,../datasets/wrinkles3/1004_1982-01-24_2011.jpg
50,71,0.448979592,0.422916667,0.327932099,0.48173913,0.350340136,0.507582183,0.305571853,0.470135049,0.537866498,0.690516853,0.278364691,0.172432807,0.184930282,0.294725851,0.286337118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.28,0.46,0.06,0.23,0.45,0.22,0.58,0.36,0.22,0.06,0.03,../datasets/wrinkles3/10051_1940-9-19_2011.jpg
51,55,0.379679144,0.466666667,0.0329623288,0.19872814,0.393812709,0.231468609,0.267972158,0.239352526,0.25181175,0.269933343,0.145750367,0.176142607,0.0598686229,0.109412411,0.159367869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.24,0.42,0.07,0.16,0.31,0.27,0.59,0.32,0.27,0.08,0.02,../datasets/wrinkles3/10052_1940-9-19_1995.jpg
52,47,0.36137931,0.422857143,0.280675551,0.114705882,0.157973734,0.29690462,0.29101927,0.329546346,0.235517656,0.266233832,0.156216037,0.167827862,0.140615844,0.0842986771,0.0960529047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.29,0.49,0.07,0.24,0.52,0.25,0.57,0.32,0.25,0.05,0.03,../datasets/wrinkles3/10053_1968-8-1_2015.jpg
53,44,0.42,0.0102040816,0.297667531,0.582142857,0.076489533,0.33307167,0.168170084,0.218256692,0.28275915,0.243473512,0.193805195,0.0688006528,0.119778325,0.202637065,0.0797644398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.27,0.45,0.07,0.21,0.35,0.26,0.6,0.33,0.26,0.09,0.03,../datasets/wrinkles3/10054_1961-12-24_2005.jpg
54,20,0.526315789,0.507936508,0.133855186,0.251136364,0.128682171,0.618755931,0.415685035,0.419781891,0.285235552,0.213306907,0.358328944,0.250094,0.107610059,0.12944932,0.100271065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.27,0.46,0.07,0.2,0.42,0.27,0.58,0.31,0.27,0.06,0.03,../datasets/wrinkles3/10055_1989-7-31_2009.jpg
55,36,0.5025,0.373015873,0.25124183,0.422558923,0.444272446,0.290151702,0.245545292,0.372532126,0.291887141,0.274880272,0.190254537,0.148418103,0.152671573,0.172952245,0.172809093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.26,0.43,0.06,0.21,0.39,0.26,0.61,0.35,0.26,0.07,0.03,../datasets/wrinkles3/10056_1965-3-14_2001.jpg
56,53,0.363157895,0.415517241,0.274661509,0.445436508,0.478557505,0.210105428,0.335533679,0.224735033,0.266474559,0.252374274,0.13686826,0.191565557,0.125155909,0.170101518,0.169823397,0,0,0.00369263232,0,0,0,0,0.000196,0,0,0,0,1,0,0,0.64,0.27,0.47,0.07,0.25,0.48,0.25,0.6,0.35,0.25,0.06,0.03,../datasets/wrinkles3/10057_1957-3-4_2010.jpg
57,38,0.605128205,0.358024691,0.331871345,0.482127289,0.570835496,0.305040406,0.220565318,0.235610781,0.306827115,0.331100875,0.222235525,0.139438924,0.136680435,0.197307275,0.229493148,0,0,0.00584795322,0,0,0,0,0.000274716889,0,0,0,0,1,0,0,0.59,0.26,0.43,0.06,0.19,0.35,0.24,0.61,0.36,0.24,0.09,0.02,../datasets/wrinkles3/10058_1964-0-0_2002.jpg
58,8,0.136111111,0.255050505,0.244881245,0.14389234,0.125414889,0.201337282,0.197709301,0.270310474,0.215319927,0.203651763,0.104523662,0.117030412,0.12753995,0.099491443,0.0952691822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.27,0.45,0.07,0.19,0.33,0.27,0.6,0.33,0.27,0.07,0.03,../datasets/wrinkles3/10059_1988-8-16_1996.jpg
59,30,0.644736842,0.585,0.755208333,0.233606557,0.121832359,0.414798281,0.404192702,0.801162932,0.282520913,0.220583236,0.299571257,0.273293499,0.621830774,0.121714324,0.0837780502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.27,0.47,0.07,0.19,0.32,0.27,0.57,0.3,0.27,0.08,0.03,../datasets/wrinkles3/1005_1981-07-14_2011.jpg
60,54,0.292391148,0.601010101,0.12195122,0.402731014,0.182051282,0.408734207,0.363398463,0.251228152,0.311665702,0.23210617,0.36090212,0.257582523,0.0880539209,0.17648396,0.106385208,0,0,0.0116724739,0,0,0,0,0.000196,0,0,0,0,3,0,0,0.65,0.28,0.48,0.07,0.24,0.5,0.25,0.58,0.33,0.25,0.06,0.03,../datasets/wrinkles3/10060_1961-10-30_2015.jpg
61,53,0.659722222,0.702898551,0.0709876543,0.402748164,0.486666667,0.667949628,0.611078841,0.212659532,0.593130532,0.552878131,0.471003688,0.456840527,0.0802521836,0.289963203,0.314872271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.28,0.47,0.07,0.23,0.46,0.23,0.63,0.39,0.23,0.06,0.03,../datasets/wrinkles3/10061_1961-10-30_2014.jpg
62,36,0.10130719,0.441295547,0.477020202,0.355200946,0.356374808,0.245175126,0.301068886,0.403445555,0.258240099,0.251189976,0.0952570566,0.177713273,0.240333275,0.147065236,0.147920987,0,0,0.0053030303,0,0.0168970814,0,0,0.000313259174,0,0.000313259174,0,0,1,0,1,0.64,0.28,0.46,0.06,0.22,0.5,0.24,0.61,0.37,0.24,0.04,0.03,../datasets/wrinkles3/10062_1969-8-27_2005.jpg
