id,u_id,date,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Emotion
65,8,2019-07-01 00:00:00,50,48,67,86,67,37,24,25,61,7,0
66,10,2019-07-01 00:00:00,65,93,35,32,39,72,27,1,88,8,2
67,2,2019-07-01 00:00:00,70,51,16,92,80,99,94,27,92,30,5
68,4,2019-07-01 00:00:00,35,41,13,95,70,16,35,6,51,6,2
69,4,2019-07-01 00:00:00,36,84,55,88,52,12,20,96,96,14,1
70,7,2019-07-01 00:00:00,23,65,66,99,47,59,25,94,91,27,0
71,8,2019-07-01 00:00:00,27,65,73,31,89,79,47,11,8,67,6
72,6,2019-07-01 00:00:00,87,55,4,70,14,53,64,36,16,37,0
73,2,2019-07-01 00:00:00,73,8,8,51,47,67,40,72,63,36,0
74,10,2019-07-01 00:00:00,7,59,56,25,1,46,72,93,74,1,6
75,5,2019-07-01 00:00:00,42,5,86,31,40,95,92,91,38,66,5
76,5,2019-07-01 00:00:00,26,10,62,82,67,46,20,36,54,100,6
77,7,2019-07-01 00:00:00,100,37,42,88,12,40,59,92,4,92,1
78,7,2019-07-01 00:00:00,39,40,85,35,49,54,78,3,91,60,3
79,7,2019-07-01 00:00:00,4,76,1,63,34,62,23,59,54,93,6
80,10,2019-07-01 00:00:00,78,74,81,18,15,97,87,19,4,33,6
81,10,2019-07-01 00:00:00,16,81,8,93,89,24,3,51,48,57,4
82,4,2019-07-01 00:00:00,12,83,6,4,32,7,65,2,14,7,6
83,9,2019-07-01 00:00:00,25,75,63,85,55,74,8,34,63,57,3
84,9,2019-07-01 00:00:00,80,5,96,52,87,94,81,30,33,13,1
85,6,2019-07-01 00:00:00,86,96,50,95,69,55,38,100,10,4,5
86,10,2019-07-01 00:00:00,32,56,58,49,35,8,7,13,64,89,6
87,7,2019-07-01 00:00:00,80,47,12,41,5,92,65,92,93,37,0
88,4,2019-07-01 00:00:00,2,21,58,30,97,49,79,41,65,44,3
89,3,2019-07-01 00:00:00,14,29,83,15,88,32,20,59,50,92,6
90,1,2019-07-01 00:00:00,89,98,45,36,40,25,100,90,27,8,3
91,2,2019-07-01 00:00:00,72,93,39,72,37,96,7,92,10,39,3
92,1,2019-07-01 00:00:00,34,38,4,90,7,91,51,59,92,13,4
93,5,2019-07-01 00:00:00,63,23,67,52,67,16,44,36,94,62,0
94,1,2019-07-01 00:00:00,84,98,78,63,54,36,40,90,23,98,0
95,8,2019-07-01 00:00:00,33,53,7,67,20,14,7,55,42,38,2
96,7,2019-07-01 00:00:00,70,80,33,22,100,44,57,7,81,19,0
97,5,2019-07-01 00:00:00,92,84,22,65,75,2,1,36,30,10,0
98,5,2019-07-01 00:00:00,64,74,65,50,19,73,49,69,74,75,5
99,1,2019-07-01 00:00:00,58,44,8,1,32,16,26,88,23,30,4
100,5,2019-07-01 00:00:00,78,53,74,43,32,1,82,63,54,80,0
101,9,2019-07-01 00:00:00,37,17,68,98,36,55,55,47,82,76,5
102,2,2019-07-01 00:00:00,18,86,57,53,21,4,20,76,23,11,0
103,10,2019-07-01 00:00:00,91,97,56,23,44,42,76,37,32,53,3
104,4,2019-07-01 00:00:00,93,98,7,65,74,37,62,81,73,33,2
105,1,2019-07-01 00:00:00,44,53,87,32,30,12,32,48,76,81,4
106,3,2019-07-01 00:00:00,29,44,92,34,97,51,37,48,5,37,2
107,3,2019-07-01 00:00:00,41,85,49,82,36,81,17,94,32,100,0
108,3,2019-07-01 00:00:00,45,95,18,88,41,14,18,12,96,44,0
109,7,2019-07-01 00:00:00,92,56,77,12,18,35,32,39,59,78,0
110,3,2019-07-01 00:00:00,87,98,8,60,80,63,71,50,86,70,5
111,6,2019-07-01 00:00:00,32,96,21,22,50,83,57,41,89,9,5
112,8,2019-07-01 00:00:00,23,64,70,71,61,87,86,17,9,46,0
113,6,2019-07-01 00:00:00,35,29,19,86,61,46,35,64,86,19,3
114,4,2019-07-01 00:00:00,16,87,25,21,1,15,8,85,99,76,2
115,8,2019-07-01 00:00:00,67,48,95,46,28,53,55,45,24,89,3
116,3,2019-07-01 00:00:00,13,68,81,59,78,74,23,81,85,10,1
117,7,2019-07-01 00:00:00,11,95,15,11,86,2,33,72,33,61,0
118,7,2019-07-01 00:00:00,63,23,93,85,21,29,73,99,11,53,2
119,9,2019-07-01 00:00:00,89,89,38,51,61,62,86,23,15,49,2
120,6,2019-07-01 00:00:00,67,64,35,73,95,73,74,84,83,22,3
121,1,2019-07-01 00:00:00,72,24,19,14,3,3,66,38,66,49,5
122,8,2019-07-01 00:00:00,18,2,4,56,56,38,51,15,95,64,5
123,10,2019-07-01 00:00:00,17,19,93,93,26,45,58,32,23,75,5
124,5,2019-07-01 00:00:00,65,90,40,12,91,14,64,12,69,62,3
125,6,2019-07-01 00:00:00,77,87,55,69,4,23,1,6,53,97,2
126,4,2019-07-01 00:00:00,8,79,70,73,60,67,78,33,99,69,3
127,10,2019-07-01 00:00:00,67,67,55,27,37,37,96,86,86,74,6
128,10,2019-07-01 00:00:00,15,29,92,62,48,63,38,43,33,46,1
129,6,2019-07-01 00:00:00,42,35,25,46,17,96,17,81,57,71,3
130,6,2019-07-01 00:00:00,67,71,24,33,31,24,82,12,60,90,4
131,6,2019-07-01 00:00:00,19,19,41,76,40,82,52,85,81,100,0
132,1,2019-07-01 00:00:00,59,73,27,16,32,95,75,23,10,83,0
133,4,2019-07-01 00:00:00,19,7,12,24,61,75,98,45,54,55,0
134,1,2019-07-01 00:00:00,16,81,100,31,93,73,65,35,18,54,4
135,1,2019-07-01 00:00:00,5,4,47,81,31,87,3,62,83,63,4
136,1,2019-07-01 00:00:00,48,48,35,59,49,23,97,75,66,72,2
137,5,2019-07-01 00:00:00,23,99,24,24,12,55,17,92,63,16,2
138,10,2019-07-01 00:00:00,47,27,32,83,59,25,46,5,96,52,1
139,8,2019-07-01 00:00:00,10,80,62,62,4,74,35,13,22,2,0
140,10,2019-07-01 00:00:00,58,44,40,74,13,18,40,82,78,43,2
141,4,2019-07-01 00:00:00,55,5,81,11,91,66,32,3,21,88,3
142,5,2019-07-01 00:00:00,4,67,77,10,23,88,40,63,68,15,0
143,9,2019-07-01 00:00:00,81,28,83,65,41,53,84,44,5,13,0
144,2,2019-07-01 00:00:00,17,27,93,31,75,52,57,95,31,42,5
145,6,2019-07-01 00:00:00,58,56,76,50,30,78,90,16,13,66,3
146,2,2019-07-01 00:00:00,48,46,89,46,82,27,35,71,85,12,1
147,7,2019-07-01 00:00:00,97,9,72,47,24,20,86,33,22,29,2
148,3,2019-07-01 00:00:00,53,20,83,88,61,7,10,43,20,3,3
149,5,2019-07-01 00:00:00,43,31,75,24,56,64,11,81,35,75,5
150,10,2019-07-01 00:00:00,84,35,53,33,37,2,90,26,81,7,5
151,7,2019-07-01 00:00:00,49,7,33,93,100,70,40,33,100,18,0
152,2,2019-07-01 00:00:00,52,27,24,48,66,28,49,81,36,90,0
153,4,2019-07-01 00:00:00,57,82,9,2,94,48,39,40,94,22,1
154,3,2019-07-01 00:00:00,56,20,80,76,36,20,93,40,6,4,0
155,4,2019-07-01 00:00:00,43,88,73,29,3,21,41,23,97,53,0
156,4,2019-07-01 00:00:00,31,34,68,96,58,82,90,90,63,80,3
157,10,2019-07-01 00:00:00,20,29,90,58,61,31,100,93,91,79,2
158,9,2019-07-01 00:00:00,5,43,19,13,60,3,28,93,97,59,0
159,7,2019-07-01 00:00:00,62,90,36,1,74,73,48,54,43,67,3
160,8,2019-07-01 00:00:00,4,49,64,74,77,20,2,64,92,56,2
161,1,2019-07-01 00:00:00,53,63,17,41,95,19,39,43,87,55,1
162,5,2019-07-01 00:00:00,98,77,83,64,6,27,22,44,40,14,3
163,1,2019-07-01 00:00:00,76,84,13,63,61,56,78,98,6,98,2
164,1,2019-07-01 00:00:00,18,48,24,19,14,65,48,90,87,98,3
165,1,2019-07-01 00:00:00,91,81,16,81,37,74,57,25,16,91,5
166,9,2019-07-01 00:00:00,4,53,61,54,6,23,6,8,83,70,5
167,6,2019-07-01 00:00:00,60,62,15,46,65,10,54,45,41,100,3
168,7,2019-07-01 00:00:00,52,9,64,11,69,78,53,75,90,88,5
169,2,2019-07-01 00:00:00,37,30,2,40,2,31,63,34,66,79,3
170,2,2019-07-01 00:00:00,13,63,88,22,94,80,31,52,16,96,6
171,7,2019-07-01 00:00:00,65,3,11,6,55,47,6,94,38,33,4
172,6,2019-07-01 00:00:00,64,4,34,26,85,67,70,100,72,1,3
173,5,2019-07-01 00:00:00,72,83,46,24,40,54,56,9,21,87,1
174,2,2019-07-01 00:00:00,52,2,57,87,28,33,65,73,33,8,3
175,6,2019-07-01 00:00:00,61,46,55,44,80,36,6,30,92,92,4
176,9,2019-07-01 00:00:00,53,1,65,65,42,3,1,69,51,67,6
177,5,2019-07-01 00:00:00,10,59,20,10,38,25,66,74,97,92,2
178,1,2019-07-01 00:00:00,26,94,22,84,39,100,76,60,25,21,1
179,8,2019-07-01 00:00:00,45,8,100,41,55,96,4,51,11,47,1
180,5,2019-07-01 00:00:00,25,42,31,88,27,34,37,69,52,6,2
181,9,2019-07-01 00:00:00,62,80,50,11,48,70,38,60,70,99,0
182,4,2019-07-01 00:00:00,58,34,27,28,21,25,71,96,61,55,5
183,6,2019-07-01 00:00:00,13,9,56,68,54,77,75,73,46,64,0
184,1,2019-07-01 00:00:00,95,17,1,35,78,61,63,57,88,68,0
185,2,2019-07-01 00:00:00,1,58,96,99,52,60,97,54,38,22,4
186,3,2019-07-01 00:00:00,30,13,55,55,20,3,30,58,62,27,3
187,2,2019-07-01 00:00:00,18,65,75,67,6,27,23,33,32,12,2
188,1,2019-07-01 00:00:00,60,96,62,40,56,36,59,55,28,35,0
189,4,2019-07-01 00:00:00,47,91,88,81,71,42,61,49,44,67,3
190,1,2019-07-01 00:00:00,85,84,13,66,84,87,7,16,51,82,6
191,2,2019-07-01 00:00:00,67,57,95,74,27,88,74,87,54,43,2
192,10,2019-07-01 00:00:00,22,92,10,79,97,29,56,99,67,23,1
193,8,2019-07-01 00:00:00,87,59,20,75,99,24,89,94,85,96,5
194,7,2019-07-01 00:00:00,77,57,89,35,48,8,61,94,10,30,5
195,1,2019-07-01 00:00:00,98,68,22,19,85,99,76,12,15,39,4
196,7,2019-07-01 00:00:00,94,47,63,81,94,17,8,68,48,24,1
197,1,2019-07-01 00:00:00,99,80,100,91,7,80,97,24,29,75,1
198,4,2019-07-01 00:00:00,71,87,39,36,18,100,54,69,79,11,6
199,10,2019-07-01 00:00:00,34,31,13,11,53,53,98,85,1,84,2
200,8,2019-07-01 00:00:00,38,73,63,86,55,76,11,35,17,100,1
201,6,2019-07-01 00:00:00,99,99,59,80,91,3,75,16,100,23,5
202,6,2019-07-01 00:00:00,22,91,83,38,37,27,29,90,29,41,5
203,8,2019-07-01 00:00:00,100,51,23,4,24,24,40,13,88,27,6
204,2,2019-07-01 00:00:00,20,33,14,1,40,25,59,61,9,20,0
205,5,2019-07-01 00:00:00,23,29,17,25,37,18,68,10,15,9,2
206,8,2019-07-01 00:00:00,63,6,12,93,76,95,48,91,86,68,4
207,1,2019-07-01 00:00:00,7,82,73,15,36,42,77,33,32,68,2
208,6,2019-07-01 00:00:00,32,87,63,77,93,58,49,62,81,8,0
209,2,2019-07-01 00:00:00,76,1,18,28,15,17,91,59,46,60,6
210,3,2019-07-01 00:00:00,77,74,68,46,87,93,96,44,41,38,2
211,8,2019-07-01 00:00:00,16,31,95,61,99,97,3,27,53,61,4
212,5,2019-07-01 00:00:00,62,85,10,56,50,46,3,3,41,24,6
213,3,2019-07-01 00:00:00,8,12,10,34,98,90,30,89,88,83,2
214,7,2019-07-01 00:00:00,11,50,98,100,89,97,25,34,91,36,3
215,10,2019-07-01 00:00:00,57,9,16,76,93,2,21,94,50,16,2
216,4,2019-07-01 00:00:00,62,9,14,85,94,12,66,35,90,42,5
217,6,2019-07-01 00:00:00,77,44,17,4,34,64,46,43,86,83,5
218,3,2019-07-01 00:00:00,48,11,65,62,9,22,15,20,74,68,5
219,3,2019-07-01 00:00:00,82,29,46,90,31,65,27,97,9,70,1
220,7,2019-07-01 00:00:00,70,99,36,3,86,93,58,96,37,2,0
221,10,2019-07-01 00:00:00,67,68,22,94,77,57,70,94,65,31,0
222,3,2019-07-01 00:00:00,35,72,47,60,5,99,42,40,42,53,5
223,3,2019-07-01 00:00:00,71,47,12,87,71,70,99,40,61,90,3
224,3,2019-07-01 00:00:00,30,5,89,98,95,91,4,74,67,19,6
225,2,2019-07-01 00:00:00,55,24,20,80,70,82,22,36,30,37,1
226,3,2019-07-01 00:00:00,21,55,65,51,12,37,24,53,92,59,2
227,4,2019-07-01 00:00:00,94,100,100,79,58,21,90,72,57,95,6
228,10,2019-07-01 00:00:00,81,50,69,32,31,53,52,92,46,45,6
229,6,2019-07-01 00:00:00,18,39,67,30,23,23,26,28,86,74,1
230,3,2019-07-01 00:00:00,24,84,21,64,90,17,29,51,76,19,6
231,5,2019-07-01 00:00:00,53,74,24,62,40,60,55,89,36,3,1
232,3,2019-07-01 00:00:00,89,88,56,20,58,21,1,47,16,15,1
233,8,2019-07-01 00:00:00,88,47,85,13,98,88,21,26,88,17,0
234,10,2019-07-01 00:00:00,100,99,80,87,2,10,63,72,100,14,0
235,8,2019-07-01 00:00:00,65,26,53,81,14,63,88,13,62,39,6
236,1,2019-07-01 00:00:00,18,88,56,44,44,17,13,87,39,26,5
237,4,2019-07-01 00:00:00,99,19,56,52,7,90,92,55,31,14,3
238,1,2019-07-01 00:00:00,8,48,15,34,69,98,20,66,53,46,2
239,2,2019-07-01 00:00:00,81,34,72,13,65,50,44,6,25,91,5
240,8,2019-07-01 00:00:00,72,4,75,34,57,73,12,96,53,4,1
241,4,2019-07-01 00:00:00,12,35,96,86,69,66,54,67,67,23,0
242,8,2019-07-01 00:00:00,26,91,55,80,95,22,55,5,56,82,1
243,7,2019-07-01 00:00:00,46,41,4,87,61,61,89,54,84,55,5
244,9,2019-07-01 00:00:00,54,94,42,78,21,70,77,56,20,80,5
245,10,2019-07-01 00:00:00,7,68,33,87,57,71,66,2,97,73,4
246,3,2019-07-01 00:00:00,76,50,7,22,100,30,55,62,66,90,6
247,10,2019-07-01 00:00:00,60,50,88,2,5,31,60,62,91,11,6
248,4,2019-07-01 00:00:00,80,36,89,4,47,24,47,67,55,36,1
249,6,2019-07-01 00:00:00,23,47,60,56,62,81,38,16,11,18,5
250,10,2019-07-01 00:00:00,22,5,82,11,85,59,59,75,88,10,4
251,5,2019-07-01 00:00:00,4,13,87,20,56,56,28,31,20,33,0
252,5,2019-07-01 00:00:00,11,54,86,61,92,18,99,69,14,4,3
253,5,2019-07-01 00:00:00,50,14,27,31,34,51,65,58,16,55,0
254,3,2019-07-01 00:00:00,51,20,87,37,77,18,27,51,12,57,3
255,6,2019-07-01 00:00:00,87,17,11,26,33,47,19,46,8,95,4
256,1,2019-07-01 00:00:00,32,72,23,91,41,43,34,85,81,47,0
257,6,2019-07-01 00:00:00,88,25,75,54,14,15,67,33,32,94,6
258,9,2019-07-01 00:00:00,92,39,10,95,18,41,64,86,8,67,5
259,8,2019-07-01 00:00:00,29,70,72,53,81,70,46,34,5,25,2
260,10,2019-07-01 00:00:00,59,21,13,88,42,9,40,35,28,49,3
261,3,2019-07-01 00:00:00,1,43,86,72,94,8,91,83,100,67,3
262,5,2019-07-01 00:00:00,23,92,13,94,44,49,72,15,18,56,2
263,10,2019-07-01 00:00:00,22,83,86,86,74,65,34,64,96,61,0
264,9,2019-07-01 00:00:00,54,29,74,19,100,2,28,63,35,81,2
265,6,2019-07-01 00:00:00,20,42,21,62,3,9,23,66,11,8,5
266,3,2019-07-01 00:00:00,80,11,73,55,49,43,43,71,25,25,2
267,1,2019-07-01 00:00:00,1,82,25,44,33,50,62,68,84,53,3
268,8,2019-07-01 00:00:00,31,17,76,3,78,90,9,16,40,66,2
269,7,2019-07-01 00:00:00,48,35,82,38,61,34,21,79,75,46,2
270,8,2019-07-01 00:00:00,72,38,36,19,31,23,40,68,65,54,5
271,7,2019-07-01 00:00:00,72,36,93,23,60,37,7,50,74,93,1
272,8,2019-07-01 00:00:00,99,61,24,75,45,43,84,1,95,13,4
273,7,2019-07-01 00:00:00,60,86,73,28,50,93,93,28,86,14,3
274,3,2019-07-01 00:00:00,5,95,43,90,43,5,71,9,64,28,2
275,1,2019-07-01 00:00:00,6,13,85,86,50,27,90,81,4,14,6
276,3,2019-07-01 00:00:00,19,17,46,74,31,14,18,75,97,40,2
277,5,2019-07-01 00:00:00,10,71,18,51,86,77,3,44,66,19,5
278,8,2019-07-01 00:00:00,79,43,87,31,68,19,85,75,88,88,0
279,1,2019-07-01 00:00:00,6,18,77,84,43,22,92,38,26,90,4
280,10,2019-07-01 00:00:00,17,44,46,99,10,99,75,73,58,71,3
281,6,2019-07-01 00:00:00,88,34,78,26,21,39,35,91,70,18,5
282,3,2019-07-01 00:00:00,98,74,64,14,95,5,89,32,62,18,4
283,7,2019-07-01 00:00:00,99,96,12,65,88,73,7,98,66,48,0
284,4,2019-07-01 00:00:00,30,57,49,37,9,55,77,55,67,94,5
285,4,2019-07-01 00:00:00,13,9,84,77,31,43,9,51,87,9,3
286,10,2019-07-01 00:00:00,29,70,94,4,97,40,83,52,58,68,4
287,1,2019-07-01 00:00:00,18,33,8,76,71,46,48,77,36,66,6
288,8,2019-07-01 00:00:00,90,10,47,80,64,18,30,9,72,83,4
289,8,2019-07-01 00:00:00,79,71,11,43,94,71,66,98,81,50,1
290,5,2019-07-01 00:00:00,45,18,32,100,88,28,33,83,72,97,4
291,6,2019-07-01 00:00:00,22,51,59,7,1,42,86,64,43,49,4
292,3,2019-07-01 00:00:00,76,38,95,90,81,92,11,53,67,28,6
293,6,2019-07-01 00:00:00,92,63,52,72,93,81,10,53,91,96,0
294,5,2019-07-01 00:00:00,54,1,82,8,3,31,83,7,4,68,2
295,3,2019-07-01 00:00:00,7,88,28,76,99,78,79,29,72,25,4
296,8,2019-07-01 00:00:00,33,10,99,52,29,21,57,85,24,48,1
297,2,2019-07-01 00:00:00,24,54,97,15,52,78,73,90,46,90,0
298,7,2019-07-01 00:00:00,33,12,19,35,41,58,27,21,17,33,3
299,10,2019-07-01 00:00:00,45,37,82,8,61,83,25,74,73,97,6
300,6,2019-07-01 00:00:00,100,41,56,61,87,71,7,49,96,65,3
301,1,2019-07-02 00:00:00,25,63,3,79,48,91,29,60,96,98,6
302,2,2019-07-02 00:00:00,23,43,8,32,96,79,53,29,29,100,6
303,7,2019-07-02 00:00:00,89,97,11,51,29,18,24,96,88,10,6
304,4,2019-07-02 00:00:00,40,58,50,93,66,91,95,52,64,70,0
305,6,2019-07-02 00:00:00,63,82,33,11,94,77,90,27,71,29,1
306,7,2019-07-02 00:00:00,24,86,28,45,15,32,24,18,85,84,3
307,8,2019-07-02 00:00:00,81,34,30,40,32,41,18,95,40,60,1
308,10,2019-07-02 00:00:00,40,11,68,85,25,34,9,13,33,34,2
309,3,2019-07-02 00:00:00,50,4,80,8,98,27,83,79,4,70,5
310,2,2019-07-02 00:00:00,24,53,97,40,74,44,24,71,12,87,3
311,7,2019-07-02 00:00:00,88,48,64,22,57,96,5,48,53,72,3
312,6,2019-07-02 00:00:00,9,12,10,6,30,23,77,25,94,6,3
313,2,2019-07-02 00:00:00,17,37,49,16,36,54,88,25,73,60,0
314,6,2019-07-02 00:00:00,26,23,50,64,63,44,38,14,78,96,1
315,3,2019-07-02 00:00:00,74,56,41,31,17,86,6,61,36,85,1
316,7,2019-07-02 00:00:00,62,91,57,79,51,82,10,50,41,38,3
317,1,2019-07-02 00:00:00,5,20,41,68,65,85,78,61,36,8,2
318,3,2019-07-02 00:00:00,90,84,30,29,13,16,53,2,91,38,4
319,4,2019-07-02 00:00:00,82,70,67,24,73,47,33,21,100,25,6
320,1,2019-07-02 00:00:00,15,24,43,99,76,95,18,28,94,80,0
321,3,2019-07-02 00:00:00,73,25,40,57,84,67,62,90,14,75,5
322,1,2019-07-02 00:00:00,79,1,77,15,7,65,20,67,46,91,2
323,8,2019-07-02 00:00:00,98,18,69,77,21,82,46,29,62,53,4
324,3,2019-07-02 00:00:00,37,13,31,19,78,31,92,99,51,65,1
325,5,2019-07-02 00:00:00,20,79,43,4,89,96,32,12,41,11,2
326,8,2019-07-02 00:00:00,69,39,58,92,15,21,91,79,21,68,1
327,1,2019-07-02 00:00:00,4,60,84,86,30,89,43,75,64,93,4
328,8,2019-07-02 00:00:00,39,41,4,79,22,32,41,22,39,37,1
329,7,2019-07-02 00:00:00,52,25,78,48,20,39,65,55,87,17,4
330,3,2019-07-02 00:00:00,40,75,5,98,60,94,53,46,54,76,2
331,1,2019-07-02 00:00:00,40,26,73,1,18,39,14,27,99,18,1
332,1,2019-07-02 00:00:00,89,11,95,100,78,82,76,54,65,54,1
333,2,2019-07-02 00:00:00,75,18,31,68,49,12,67,38,61,85,2
334,5,2019-07-02 00:00:00,77,32,47,96,64,33,30,60,41,20,2
335,2,2019-07-02 00:00:00,11,16,79,69,6,93,56,16,61,29,2
336,5,2019-07-02 00:00:00,68,66,93,67,47,77,35,16,61,93,2
337,3,2019-07-02 00:00:00,7,6,45,31,55,7,36,75,59,15,1
338,5,2019-07-02 00:00:00,5,54,82,33,26,6,29,79,24,38,6
339,6,2019-07-02 00:00:00,77,69,24,82,77,4,73,27,60,50,6
340,8,2019-07-02 00:00:00,12,66,38,14,33,61,82,26,88,46,2
341,7,2019-07-02 00:00:00,77,92,8,1,15,10,5,95,22,64,1
342,8,2019-07-02 00:00:00,19,92,52,8,68,8,35,91,61,67,4
343,4,2019-07-02 00:00:00,58,80,99,21,47,74,58,84,12,8,2
344,5,2019-07-02 00:00:00,97,76,49,71,81,8,44,27,29,100,6
345,6,2019-07-02 00:00:00,51,62,10,45,75,46,12,90,91,73,1
346,3,2019-07-02 00:00:00,36,22,20,44,61,66,90,24,7,47,4
347,10,2019-07-02 00:00:00,55,7,97,87,10,61,70,74,85,9,1
348,4,2019-07-02 00:00:00,69,74,12,2,8,28,81,99,37,23,1
349,6,2019-07-02 00:00:00,3,68,8,51,46,40,79,60,76,99,3
350,2,2019-07-02 00:00:00,74,95,11,51,58,88,22,4,11,46,6
351,3,2019-07-02 00:00:00,85,23,62,41,42,13,77,52,86,23,4
352,7,2019-07-02 00:00:00,12,2,76,65,42,22,27,78,87,86,3
353,6,2019-07-02 00:00:00,82,19,23,70,86,34,60,94,33,30,4
354,5,2019-07-02 00:00:00,2,86,39,53,66,35,91,77,18,35,6
355,9,2019-07-02 00:00:00,16,96,86,55,8,88,94,20,80,27,0
356,2,2019-07-02 00:00:00,3,99,10,69,62,19,18,80,55,91,3
